mind-plate	psychic	0
miracle-seed	grass	0
mirror-herb		0
misty-seed		0
muscle-band		0
mystic-water	water	0
nanab-berry	water	1
never-melt-ice	ice	0
nomel-berry	dragon	1
normal-gem	normal	0
occa-berry	fire	1
odd-incense	psychic	0
old-amber		0
oran-berry	poison	1
pamtre-berry	steel	1
passho-berry	water	1
payapa-berry	psychic	1
pecha-berry	electric	1
persim-berry	ground	1
petaya-berry	poison	1
pinap-berry	grass	1
pixie-plate	fairy	0
plume-fossil		0
poison-barb	poison	0
poison-gem	poison	0
pomeg-berry	ice	1
power-anklet		0
power-band		0
power-belt		0
power-bracer		0
power-herb		0
power-lens		0
power-weight		0
pretty-feather		0
protective-pads		0
psychic-gem	psychic	0
psychic-seed		0
punching-glove		0
qualot-berry	poison	1
quick-claw		0
rabuta-berry	ghost	1
rare-bone		0
rawst-berry	grass	1
razor-claw		0
razor-fang		0
razz-berry	steel	1
red-card		0
rindo-berry	grass	1
ring-target		0
rock-gem	rock	0
rock-incense	rock	0
rocky-helmet		0
room-service		0
root-fossil		0
rose-incense	grass	0
roseli-berry	fairy	1
rowap-berry	dark	1
safety-goggles		0
sail-fossil		0
salac-berry	fighting	1
scope-lens		0
sea-incense	water	0
sharp-beak	flying	0
shed-shell		0
shell-bell		0
shuca-berry	ground	1
silk-scarf	normal	0
silver-powder	bug	0
sitrus-berry	psychic	1
skull-fossil		0
sky-plate	flying	0
smooth-rock		0
snowball		0
soft-sand	ground	0
spell-tag	ghost	0
spelon-berry	dark	1
splash-plate	water	0
spooky-plate	ghost	0
starf-berry	psychic	1
steel-gem	steel	0
sticky-barb		0
stone-plate	rock	0
tamato-berry	psychic	1
tanga-berry	bug	1
terrain-extender		0
throat-spray		0
toxic-orb		0
toxic-plate	poison	0
tr00		0
tr01		0
tr02		0
tr03		0
tr04		0
tr05		0
tr06		0
tr07		0
tr08		0
tr09		0
tr10		0
tr11		0
tr12		0
tr13		0
tr14		0
tr15		0
tr16		0
tr17		0
tr18		0
tr19		0
tr20		0
tr21		0
tr22		0
tr23		0
tr24		0
tr25		0
tr26		0
tr27		0
tr28		0
tr29		0
tr30		0
tr31		0
tr32		0
tr33		0
tr34		0
tr35		0
tr36		0
tr37		0
tr38		0
tr39		0
tr40		0
tr41		0
tr42		0
tr43		0
tr44		0
tr45		0
tr46		0
tr47		0
tr48		0
tr49		0
tr50		0
tr51		0
tr52		0
tr53		0
tr54		0
tr55		0
tr56		0
tr57		0
tr58		0
tr59		0
tr60		0
tr61		0
tr62		0
tr63		0
tr64		0
tr65		0
tr66		0
tr67		0
tr68		0
tr69		0
tr70		0
tr71		0
tr72		0
tr73		0
tr74		0
tr75		0
tr76		0
tr77		0
tr78		0
tr79		0
tr80		0
tr81		0
tr82		0
tr83		0
tr84		0
tr85		0
tr86		0
tr87		0
tr88		0
tr89		0
tr90		0
tr91		0
tr92		0
tr93		0
tr94		0
tr95		0
tr96		0
tr97		0
tr98		0
tr99		0
twisted-spoon	psychic	0
utility-umbrella		0
wacan-berry	electric	1
water-gem	water	0
watmel-berry	fire	1
wave-incense	water	0
weakness-policy		0
wepear-berry	electric	1
white-herb		0
wide-lens		0
wiki-berry	rock	1
wise-glasses		0
yache-berry	ice	1
zap-plate	electric	0
zoom-lens		0
berry	poison	1
berserk-gene		0
bitter-berry	ground	1
burnt-berry	ice	1
gold-berry	psychic	1
ice-berry	grass	1
mint-berry	water	1
miracle-berry	flying	1
mystery-berry	fighting	1
pink-bow	normal	0
polkadot-bow	normal	0
prz-cure-berry	fire	1
psn-cure-berry	electric	1
